id;name;sex;age;social_class;siblings;parents_alive;annual_income;housenumber;browser_used;city;fraud
78;Compton, Mr. Alexander Taylor Jr;male;37.0;1;1;1;831583.0;102;Internet Explorer;Lakewood, NJ;Yes
79;Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll);female;64.0;1;0;2;831583.0;211;Internet Explorer;Lakewood, NJ;No
80;Cornell, Mrs. Robert Clifford (Malvina Helen Lamson);female;55.0;1;2;0;257000.0;151;Chrome;New York, NY;No
81;Crafton, Mr. John Bertram;male;;1;0;0;265500.0;144;Chrome;Roachdale, IN;Yes
82;Crosby, Capt. Edward Gifford;male;70.0;1;1;1;710000.0;14;Chrome;Milwaukee, WI;Yes
83;Crosby, Miss. Harriet R;female;36.0;1;0;2;710000.0;3;Chrome;Milwaukee, WI;No
84;Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead);female;64.0;1;1;1;265500.0;166;Chrome;Milwaukee, WI;No
85;Cumings, Mr. John Bradley;male;39.0;1;1;0;712833.0;189;Internet Explorer;New York, NY;Yes
86;Cumings, Mrs. John Bradley (Florence Briggs Thayer);female;38.0;1;1;0;712833.0;82;Internet Explorer;New York, NY;No
87;Daly, Mr. Peter Denis ;male;51.0;1;0;0;265500.0;127;Chrome;Lima, Peru;No
88;Daniel, Mr. Robert Williams;male;27.0;1;0;0;305000.0;98;Chrome;Philadelphia, PA;No
89;Daniels, Miss. Sarah;female;33.0;1;0;0;1515500.0;135;Chrome;;No
90;Davidson, Mr. Thornton;male;31.0;1;1;0;520000.0;55;Chrome;Montreal, PQ;Yes
91;Davidson, Mrs. Thornton (Orian Hays);female;27.0;1;1;2;520000.0;61;Chrome;Montreal, PQ;No
92;Dick, Mr. Albert Adrian;male;31.0;1;1;0;570000.0;184;Chrome;Calgary, AB;No
93;Dick, Mrs. Albert Adrian (Vera Gillespie);female;17.0;1;1;0;570000.0;199;Chrome;Calgary, AB;No
94;Dodge, Dr. Washington;male;53.0;1;1;1;818583.0;182;Chrome;San Francisco, CA;No
95;Dodge, Master. Washington;male;4.0;1;0;2;818583.0;75;Chrome;San Francisco, CA;No
96;Dodge, Mrs. Washington (Ruth Vidaver);female;54.0;1;1;1;818583.0;197;Chrome;San Francisco, CA;No
97;Douglas, Mr. Walter Donald;male;50.0;1;1;0;1064250.0;128;Internet Explorer;Deephaven, MN / Cedar Rapids, IA;Yes
98;Douglas, Mrs. Frederick Charles (Mary Helene Baxter);female;27.0;1;1;1;2475208.0;247;Internet Explorer;Montreal, PQ;No
99;Douglas, Mrs. Walter Donald (Mahala Dutton);female;48.0;1;1;0;1064250.0;153;Internet Explorer;Deephaven, MN / Cedar Rapids, IA;No
100;"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")";female;48.0;1;1;0;396000.0;76;Internet Explorer;London / Paris;No
101;"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")";male;49.0;1;1;0;569292.0;232;Internet Explorer;London / Paris;No
102;Dulles, Mr. William Crothers;male;39.0;1;0;0;297000.0;229;Internet Explorer;Philadelphia, PA;Yes
103;Earnshaw, Mrs. Boulton (Olive Potter);female;23.0;1;0;1;831583.0;102;Internet Explorer;Mt Airy, Philadelphia, PA;No
104;Endres, Miss. Caroline Louise;female;38.0;1;0;0;2275250.0;144;Internet Explorer;New York, NY;No
105;Eustis, Miss. Elizabeth Mussey;female;54.0;1;1;0;782667.0;22;Internet Explorer;Brookline, MA;No
106;Evans, Miss. Edith Corse;female;36.0;1;0;0;316792.0;126;Internet Explorer;New York, NY;Yes
107;Farthing, Mr. John;male;;1;0;0;2217792.0;90;Chrome;;Yes
108;Flegenheim, Mrs. Alfred (Antoinette);female;;1;0;0;316833.0;94;Chrome;New York, NY;No
109;Fleming, Miss. Margaret;female;;1;0;0;1108833.0;98;Internet Explorer;;No
110;"Flynn, Mr. John Irwin (""Irving"")";male;36.0;1;0;0;263875.0;230;Chrome;Brooklyn, NY;No
111;Foreman, Mr. Benjamin Laventall;male;30.0;1;0;0;277500.0;46;Internet Explorer;New York, NY;Yes
112;Fortune, Miss. Alice Elizabeth;female;24.0;1;3;2;2630000.0;59;Chrome;Winnipeg, MB;No
113;Fortune, Miss. Ethel Flora;female;28.0;1;3;2;2630000.0;162;Chrome;Winnipeg, MB;No
114;Fortune, Miss. Mabel Helen;female;23.0;1;3;2;2630000.0;12;Chrome;Winnipeg, MB;No
115;Fortune, Mr. Charles Alexander;male;19.0;1;3;2;2630000.0;60;Chrome;Winnipeg, MB;Yes
116;Fortune, Mr. Mark;male;64.0;1;1;4;2630000.0;37;Chrome;Winnipeg, MB;Yes
117;Fortune, Mrs. Mark (Mary McDougald);female;60.0;1;1;4;2630000.0;19;Chrome;Winnipeg, MB;No
118;Francatelli, Miss. Laura Mabel;female;30.0;1;0;0;569292.0;215;Internet Explorer;;No
119;Franklin, Mr. Thomas Parham;male;;1;0;0;265500.0;22;Chrome;Westcliff-on-Sea, Essex;Yes
120;Frauenthal, Dr. Henry William;male;50.0;1;2;0;1336500.0;47;Chrome;New York, NY;No
121;Frauenthal, Mr. Isaac Gerald;male;43.0;1;1;0;277208.0;122;Internet Explorer;New York, NY;No
122;Frauenthal, Mrs. Henry William (Clara Heinsheimer);female;;1;1;0;1336500.0;256;Chrome;New York, NY;No
123;Frolicher, Miss. Hedwig Margaritha;female;22.0;1;0;2;495000.0;101;Internet Explorer;Zurich, Switzerland;No
124;Frolicher-Stehli, Mr. Maxmillian;male;60.0;1;1;1;792000.0;253;Internet Explorer;Zurich, Switzerland;No
125;Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli);female;48.0;1;1;1;792000.0;104;Internet Explorer;Zurich, Switzerland;No
126;Fry, Mr. Richard;male;;1;0;0;0.0;134;Chrome;;Yes
127;Futrelle, Mr. Jacques Heath;male;37.0;1;1;0;531000.0;215;Chrome;Scituate, MA;Yes
128;Futrelle, Mrs. Jacques Heath (Lily May Peel);female;35.0;1;1;0;531000.0;20;Chrome;Scituate, MA;No
129;Gee, Mr. Arthur H;male;47.0;1;0;0;385000.0;33;Chrome;St Anne's-on-Sea, Lancashire;Yes
130;Geiger, Miss. Amalie;female;35.0;1;0;0;2115000.0;99;Internet Explorer;;No
131;Gibson, Miss. Dorothy Winifred;female;22.0;1;0;1;594000.0;225;Internet Explorer;New York, NY;No
132;Gibson, Mrs. Leonard (Pauline C Boeson);female;45.0;1;0;1;594000.0;37;Internet Explorer;New York, NY;No
133;Giglio, Mr. Victor;male;24.0;1;0;0;792000.0;151;Internet Explorer;;Yes
134;Goldenberg, Mr. Samuel L;male;49.0;1;1;0;891042.0;177;Internet Explorer;Paris, France / New York, NY;No
135;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);female;;1;1;0;891042.0;24;Internet Explorer;Paris, France / New York, NY;No
136;Goldschmidt, Mr. George B;male;71.0;1;0;0;346542.0;15;Internet Explorer;New York, NY;Yes
137;Gracie, Col. Archibald IV;male;53.0;1;0;0;285000.0;223;Internet Explorer;Washington, DC;No
138;Graham, Miss. Margaret Edith;female;19.0;1;0;0;300000.0;95;Chrome;Greenwich, CT;No
139;Graham, Mr. George Edward;male;38.0;1;0;1;1534625.0;38;Chrome;Winnipeg, MB;Yes
140;Graham, Mrs. William Thompson (Edith Junkins);female;58.0;1;0;1;1534625.0;103;Chrome;Greenwich, CT;No
141;Greenfield, Mr. William Bertram;male;23.0;1;0;1;633583.0;3;Internet Explorer;New York, NY;No
142;Greenfield, Mrs. Leo David (Blanche Strouse);female;45.0;1;0;1;633583.0;44;Internet Explorer;New York, NY;No
143;Guggenheim, Mr. Benjamin;male;46.0;1;0;0;792000.0;140;Internet Explorer;New York, NY;Yes
144;Harder, Mr. George Achilles;male;25.0;1;1;0;554417.0;71;Internet Explorer;Brooklyn, NY;No
145;Harder, Mrs. George Achilles (Dorothy Annan);female;25.0;1;1;0;554417.0;47;Internet Explorer;Brooklyn, NY;No
146;Harper, Mr. Henry Sleeper;male;48.0;1;1;0;767292.0;48;Internet Explorer;New York, NY;No
147;Harper, Mrs. Henry Sleeper (Myna Haxtun);female;49.0;1;1;0;767292.0;48;Internet Explorer;New York, NY;No
148;Harrington, Mr. Charles H;male;;1;0;0;424000.0;41;Chrome;;Yes
149;Harris, Mr. Henry Birkhardt;male;45.0;1;1;0;834750.0;141;Chrome;New York, NY;Yes
150;Harris, Mrs. Henry Birkhardt (Irene Wallach);female;35.0;1;1;0;834750.0;35;Chrome;New York, NY;No
151;Harrison, Mr. William;male;40.0;1;0;0;0.0;150;Chrome;;Yes
152;Hassab, Mr. Hammad;male;27.0;1;0;0;767292.0;215;Internet Explorer;;No
153;Hawksford, Mr. Walter James;male;;1;0;0;300000.0;232;Chrome;Kingston, Surrey;No
154;Hays, Miss. Margaret Bechstein;female;24.0;1;0;0;831583.0;119;Internet Explorer;New York, NY;No
155;Hays, Mr. Charles Melville;male;55.0;1;1;1;935000.0;94;Chrome;Montreal, PQ;Yes
156;Hays, Mrs. Charles Melville (Clara Jennings Gregg);female;52.0;1;1;1;935000.0;129;Chrome;Montreal, PQ;No
157;Head, Mr. Christopher;male;42.0;1;0;0;425000.0;118;Chrome;London / Middlesex;Yes
158;Hilliard, Mr. Herbert Henry;male;;1;0;0;518625.0;90;Chrome;Brighton, MA;Yes
159;Hipkins, Mr. William Edward;male;55.0;1;0;0;500000.0;119;Chrome;London / Birmingham;Yes
160;Hippach, Miss. Jean Gertrude;female;16.0;1;0;1;579792.0;192;Internet Explorer;Chicago, IL;No
161;Hippach, Mrs. Louis Albert (Ida Sophia Fischer);female;44.0;1;0;1;579792.0;121;Internet Explorer;Chicago, IL;No
162;Hogeboom, Mrs. John C (Anna Andrews);female;51.0;1;1;0;779583.0;188;Chrome;Hudson, NY;No
163;Holverson, Mr. Alexander Oskar;male;42.0;1;1;0;520000.0;209;Chrome;New York, NY;Yes
164;Holverson, Mrs. Alexander Oskar (Mary Aline Towner);female;35.0;1;1;0;520000.0;145;Chrome;New York, NY;No
165;"Homer, Mr. Harry (""Mr E Haven"")";male;35.0;1;0;0;265500.0;73;Internet Explorer;Indianapolis, IN;No
166;Hoyt, Mr. Frederick Maxfield;male;38.0;1;1;0;900000.0;138;Chrome;New York, NY /  Stamford CT;No
167;Hoyt, Mr. William Fisher;male;;1;0;0;306958.0;106;Internet Explorer;New York, NY;Yes
168;Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby);female;35.0;1;1;0;900000.0;159;Chrome;New York, NY /  Stamford CT;No
169;Icard, Miss. Amelie;female;38.0;1;0;0;800000.0;20;Firefox;;No
170;Isham, Miss. Ann Elizabeth;female;50.0;1;0;0;287125.0;80;Internet Explorer;Paris, France New York, NY;Yes
171;Ismay, Mr. Joseph Bruce;male;49.0;1;0;0;0.0;127;Chrome;Liverpool;No
172;Jones, Mr. Charles Cresson;male;46.0;1;0;0;260000.0;157;Chrome;Bennington, VT;Yes
173;Julian, Mr. Henry Forbes;male;50.0;1;0;0;260000.0;96;Chrome;London;Yes
174;Keeping, Mr. Edwin;male;32.5;1;0;0;2115000.0;36;Internet Explorer;;Yes
175;Kent, Mr. Edward Austin;male;58.0;1;0;0;297000.0;227;Internet Explorer;Buffalo, NY;Yes
176;Kenyon, Mr. Frederick R;male;41.0;1;1;0;518625.0;9;Chrome;Southington / Noank, CT;Yes
177;Kenyon, Mrs. Frederick R (Marion);female;;1;1;0;518625.0;229;Chrome;Southington / Noank, CT;No
178;Kimball, Mr. Edwin Nelson Jr;male;42.0;1;1;0;525542.0;75;Chrome;Boston, MA;No
179;Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons);female;45.0;1;1;0;525542.0;89;Chrome;Boston, MA;No
180;Klaber, Mr. Herman;male;;1;0;0;265500.0;72;Chrome;Portland, OR;Yes
181;Kreuchen, Miss. Emilie;female;39.0;1;0;0;2113375.0;27;Chrome;;No
182;Leader, Dr. Alice (Farnham);female;49.0;1;0;0;259292.0;174;Chrome;New York, NY;No
183;LeRoy, Miss. Bertha;female;30.0;1;0;0;1064250.0;23;Internet Explorer;;No
184;Lesurer, Mr. Gustave J;male;35.0;1;0;0;5123292.0;209;Internet Explorer;;No
185;Lewy, Mr. Ervin G;male;;1;0;0;277208.0;18;Internet Explorer;Chicago, IL;Yes
186;"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")";male;42.0;1;0;0;265500.0;103;Chrome;Stockholm, Sweden;Yes
187;Lindstrom, Mrs. Carl Johan (Sigrid Posse);female;55.0;1;0;0;277208.0;94;Internet Explorer;Stockholm, Sweden;No
188;Lines, Miss. Mary Conover;female;16.0;1;0;1;394000.0;198;Chrome;Paris, France;No
189;Lines, Mrs. Ernest H (Elizabeth Lindsey James);female;51.0;1;0;1;394000.0;33;Chrome;Paris, France;No
190;Long, Mr. Milton Clyde;male;29.0;1;0;0;300000.0;166;Chrome;Springfield, MA;Yes
191;Longley, Miss. Gretchen Fiske;female;21.0;1;0;0;779583.0;50;Chrome;Hudson, NY;No
192;Loring, Mr. Joseph Holland;male;30.0;1;0;0;455000.0;202;Chrome;London / New York, NY;Yes
193;Lurette, Miss. Elise;female;58.0;1;0;0;1465208.0;250;Internet Explorer;;No
194;Madill, Miss. Georgette Alexandra;female;15.0;1;0;1;2113375.0;86;Chrome;St Louis, MO;No
195;Maguire, Mr. John Edward;male;30.0;1;0;0;260000.0;83;Chrome;Brockton, MA;Yes
196;Maioni, Miss. Roberta;female;16.0;1;0;0;865000.0;217;Chrome;;No
197;Marechal, Mr. Pierre;male;;1;0;0;297000.0;167;Internet Explorer;Paris, France;No
198;Marvin, Mr. Daniel Warner;male;19.0;1;1;0;531000.0;121;Chrome;New York, NY;Yes
199;Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson);female;18.0;1;1;0;531000.0;132;Chrome;New York, NY;No
200;"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")";female;24.0;1;0;0;495042.0;232;Internet Explorer;Belgium  Montreal, PQ;No
201;McCaffry, Mr. Thomas Francis;male;46.0;1;0;0;752417.0;252;Internet Explorer;Vancouver, BC;Yes
202;McCarthy, Mr. Timothy J;male;54.0;1;0;0;518625.0;29;Chrome;Dorchester, MA;Yes
203;McGough, Mr. James Robert;male;36.0;1;0;0;262875.0;221;Chrome;Philadelphia, PA;No
204;Meyer, Mr. Edgar Joseph;male;28.0;1;1;0;821708.0;237;Internet Explorer;New York, NY;Yes
205;Meyer, Mrs. Edgar Joseph (Leila Saks);female;;1;1;0;821708.0;180;Internet Explorer;New York, NY;No
206;Millet, Mr. Francis Davis;male;65.0;1;0;0;265500.0;86;Chrome;East Bridgewater, MA;Yes
207;Minahan, Dr. William Edward;male;44.0;1;2;0;900000.0;159;Firefox;Fond du Lac, WI;Yes
208;Minahan, Miss. Daisy E;female;33.0;1;1;0;900000.0;78;Firefox;Green Bay, WI;No
209;Minahan, Mrs. William Edward (Lillian E Thorpe);female;37.0;1;1;0;900000.0;39;Firefox;Fond du Lac, WI;No
210;Mock, Mr. Philipp Edmund;male;30.0;1;1;0;577500.0;8;Internet Explorer;New York, NY;No
211;Molson, Mr. Harry Markland;male;55.0;1;0;0;305000.0;236;Chrome;Montreal, PQ;Yes
212;Moore, Mr. Clarence Bloomfield;male;47.0;1;0;0;424000.0;243;Chrome;Washington, DC;Yes
213;Natsch, Mr. Charles H;male;37.0;1;0;1;297000.0;86;Internet Explorer;Brooklyn, NY;Yes
214;Newell, Miss. Madeleine;female;31.0;1;1;0;1132750.0;255;Internet Explorer;Lexington, MA;No
215;Newell, Miss. Marjorie;female;23.0;1;1;0;1132750.0;9;Internet Explorer;Lexington, MA;No
216;Newell, Mr. Arthur Webster;male;58.0;1;0;2;1132750.0;66;Internet Explorer;Lexington, MA;Yes
217;Newsom, Miss. Helen Monypeny;female;19.0;1;0;2;262833.0;174;Chrome;New York, NY;No
218;Nicholson, Mr. Arthur Ernest;male;64.0;1;0;0;260000.0;36;Chrome;Isle of Wight, England;Yes
219;Oliva y Ocana, Dona. Fermina;female;39.0;1;0;0;1089000.0;225;Internet Explorer;;No
220;Omont, Mr. Alfred Fernand;male;;1;0;0;257417.0;40;Internet Explorer;Paris, France;No
221;Ostby, Miss. Helene Ragnhild;female;22.0;1;0;1;619792.0;44;Internet Explorer;Providence, RI;No
222;Ostby, Mr. Engelhart Cornelius;male;65.0;1;0;1;619792.0;153;Internet Explorer;Providence, RI;Yes
223;Ovies y Rodriguez, Mr. Servando;male;28.5;1;0;0;277208.0;248;Internet Explorer;?Havana, Cuba;Yes
224;Parr, Mr. William Henry Marsh;male;;1;0;0;0.0;73;Chrome;Belfast;Yes
225;Partner, Mr. Austen;male;45.5;1;0;0;285000.0;173;Chrome;Surbiton Hill, Surrey;Yes
226;Payne, Mr. Vivian Ponsonby;male;23.0;1;0;0;935000.0;152;Chrome;Montreal, PQ;Yes
227;Pears, Mr. Thomas Clinton;male;29.0;1;1;0;666000.0;122;Chrome;Isleworth, England;Yes
228;Pears, Mrs. Thomas (Edith Wearne);female;22.0;1;1;0;666000.0;50;Chrome;Isleworth, England;No
229;Penasco y Castellana, Mr. Victor de Satode;male;18.0;1;1;0;1089000.0;66;Internet Explorer;Madrid, Spain;Yes
230;Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo);female;17.0;1;1;0;1089000.0;38;Internet Explorer;Madrid, Spain;No
231;Perreault, Miss. Anne;female;30.0;1;0;0;935000.0;204;Chrome;;No
232;Peuchen, Major. Arthur Godfrey;male;52.0;1;0;0;305000.0;54;Chrome;Toronto, ON;No
233;Porter, Mr. Walter Chamberlain;male;47.0;1;0;0;520000.0;123;Chrome;Worcester, MA;Yes
234;Potter, Mrs. Thomas Jr (Lily Alexenia Wilson);female;56.0;1;0;1;831583.0;108;Internet Explorer;Mt Airy, Philadelphia, PA;No
235;Reuchlin, Jonkheer. John George;male;38.0;1;0;0;0.0;150;Chrome;Rotterdam, Netherlands;Yes
236;Rheims, Mr. George Alexander Lucien;male;;1;0;0;396000.0;145;Chrome;Paris /  New York, NY;No
237;Ringhini, Mr. Sante;male;22.0;1;0;0;1356333.0;31;Internet Explorer;;Yes
238;Robbins, Mr. Victor;male;;1;0;0;2275250.0;210;Internet Explorer;;Yes
239;Robert, Mrs. Edward Scott (Elisabeth Walton McMillan);female;43.0;1;0;1;2113375.0;222;Chrome;St Louis, MO;No
240;Roebling, Mr. Washington Augustus II;male;31.0;1;0;0;504958.0;134;Chrome;Trenton, NJ;Yes
241;"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")";male;45.0;1;0;0;265500.0;29;Chrome;New York, NY;No
